Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M12;Otu000315;unclassified;unclassified;unclassified;unclassified;unclassified;1.108486191;0.34159357;126;3.245044078;0.00150411;0.015257668;1.816511828;Increased
Before;Otu000316;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.47372633;0.436276538;126;3.377963746;0.00097196;0.011911155;1.924046122;Increased
M12;Otu000317;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;1.047499715;0.390766345;126;2.680629302;0.008331501;0.049627889;1.304274198;Increased
M3;Otu000320;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;1.351922056;0.355334576;126;3.804645387;0.000220391;0.003750701;2.425887501;Increased
M3;Otu000321;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.120596263;0.327313233;126;3.423620403;0.0008342;0.010700011;1.970615794;Increased
M12;Otu000340;Tenericutes;Mollicutes;RF9;unclassified;unclassified;1.818767284;0.474397327;126;3.833848084;0.000198222;0.003467083;2.460035734;Increased
M3;Otu000341;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;1.094474927;0.407101292;126;2.688458499;0.008149149;0.049150354;1.308473347;Increased
M3;Otu000342;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;0.75002503;0.268544601;126;2.792925375;0.006038834;0.040910977;1.388160146;Increased
M6;Otu000343;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.514437284;0.419805101;126;3.607477092;0.000444272;0.006426919;2.191997144;Increased
Before;Otu000357;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.169938929;0.321571556;126;3.638191581;0.000398992;0.005905082;2.228774041;Increased
M3;Otu000361;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;1.234814212;0.425450894;126;2.902366006;0.004373181;0.033521911;1.474671236;Increased
M6;Otu000361;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;1.566054525;0.429614123;126;3.645258483;0.00038921;0.005850309;2.23282123;Increased
M6;Otu000364;Firmicutes;Clostridia;unclassified;unclassified;unclassified;1.281671554;0.423123173;126;3.029074359;0.002976641;0.02500898;1.601904024;Increased
Before;Otu000370;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.099451344;0.384388957;126;2.860257364;0.004956575;0.036568007;1.436898714;Increased
M3;Otu000370;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.433360279;0.381761618;126;3.754595046;0.000263962;0.004340713;2.362438948;Increased
Before;Otu000373;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella;1.205695121;0.254994403;126;4.728319944;5.96E-06;0.000212419;3.672806632;Increased
M3;Otu000373;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella;1.037764728;0.282865153;126;3.668761306;0.000358282;0.005472959;2.261777817;Increased
M6;Otu000373;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Allisonella;0.911426371;0.271175889;126;3.361015518;0.001028319;0.012365539;1.907786959;Increased
Before;Otu000410;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.025747315;0.310499595;126;3.303538336;0.001243067;0.013841121;1.858828749;Increased
M12;Otu000410;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.04421346;0.347933073;126;3.001190574;0.003242884;0.027009995;1.568475496;Increased
M3;Otu000410;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.450330002;0.337315944;126;4.299618888;3.40E-05;0.000920092;3.036168776;Increased
