Coefficient;OTU;Phylum;Class;Order;Family;Genus;Value;Std.Error;DF;t-value;p-value;p.adjust;log10p;Change
M6;Otu000600;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;2.438976243;0.528343372;125;4.616271106;9.55E-06;0.000306268;3.513898423;Increased
Before;Otu000608;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;unclassified;2.510556735;0.534584234;125;4.696279045;6.86E-06;0.000233488;3.631735675;Increased
M3;Otu000608;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;unclassified;2.215642781;0.574432069;125;3.857101473;0.000182729;0.003055235;2.514955324;Increased
Non Colonized;Otu000630;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;2.867226139;0.627409602;125;4.569943036;1.15E-05;0.000360704;3.442848856;Increased
M6;Otu000631;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella;1.310263426;0.430495864;125;3.043614437;0.002850238;0.02319805;1.634548511;Increased
Non Colonized;Otu000639;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;2.372598378;0.62842505;125;3.775467542;0.000245664;0.003886979;2.41038784;Increased
Before;Otu000647;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;0.895976499;0.304223303;125;2.945127771;0.003850965;0.029216314;1.534374576;Increased
Before;Otu000649;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.755601753;0.569432432;125;3.083072993;0.002521507;0.02142835;1.669011259;Increased
M12;Otu000649;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.680388913;0.592149417;125;2.83777855;0.005302638;0.036141049;1.441999243;Increased
Before;Otu000657;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.276297692;0.429570688;125;2.971100514;0.003559621;0.027263978;1.564410783;Increased
Before;Otu000667;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.437672983;0.387778303;125;3.707461124;0.000313304;0.004622673;2.335106799;Increased
Before;Otu000687;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Shuttleworthia;2.46160787;0.543255832;125;4.531212969;1.35E-05;0.000416958;3.379907215;Increased
M12;Otu000687;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Shuttleworthia;2.504945212;0.576608611;125;4.344272985;2.86E-05;0.00074808;3.126051706;Increased
M6;Otu000687;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Shuttleworthia;2.504641459;0.586321662;125;4.271787347;3.81E-05;0.000901664;3.044955066;Increased
Non Colonized;Otu000689;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.536742146;0.476584184;125;3.224492538;0.001610326;0.01587227;1.79936096;Increased
Non Colonized;Otu000706;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.410545648;0.478511934;125;2.947775278;0.003820294;0.029075339;1.536475215;Increased
Non Colonized;Otu000715;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;unclassified;1.136322576;0.398887902;125;2.848726595;0.005134445;0.035180459;1.453698497;Increased
Before;Otu000740;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.591189786;0.545397474;125;2.917486536;0.004184984;0.03125741;1.505047006;Increased
M3;Otu000740;Firmicutes;Clostridia;Clostridiales;unclassified;unclassified;1.649663623;0.54929261;125;3.003251081;0.003227113;0.025363417;1.595792235;Increased
M6;Otu000747;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.627813799;0.435565386;125;3.737243251;0.000281756;0.004261775;2.370409469;Increased
Before;Otu000778;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;1.03271746;0.288640504;125;3.577867431;0.000493788;0.006454137;2.190161849;Increased
M12;Otu000778;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;1.741999513;0.386827125;125;4.503302377;1.51E-05;0.000461027;3.336274107;Increased
M3;Otu000778;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;0.93384525;0.345730071;125;2.701081936;0.007870563;0.048785322;1.311710827;Increased
M6;Otu000778;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;1.301457213;0.344332342;125;3.779654286;0.000241988;0.003854187;2.414067169;Increased
Non Colonized;Otu000795;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;unclassified;1.077973617;0.311042342;125;3.465681266;0.000725422;0.008723202;2.059324085;Increased
M3;Otu000809;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;unclassified;1.923123985;0.607859872;125;3.163762032;0.001955724;0.018301623;1.737510399;Increased
M12;Otu000824;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.660946851;0.524406325;125;3.167289891;0.001933911;0.018239435;1.738988616;Increased
M3;Otu000824;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Incertae_Sedis;1.412040471;0.44228309;125;3.192616907;0.001783825;0.0170242;1.76893329;Increased
Before;Otu000863;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.885551006;0.4462465;125;4.22535752;4.56E-05;0.001015602;2.993276589;Increased
M6;Otu000863;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.237485524;0.398761143;125;3.103325253;0.002366759;0.020773927;1.682481403;Increased
M3;Otu000881;unclassified;unclassified;unclassified;unclassified;unclassified;1.536062083;0.458308319;125;3.3515911;0.001063203;0.0112443;1.949067583;Increased
Before;Otu000899;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Incertae_Sedis;1.871092996;0.688188113;125;2.718868519;0.007482264;0.046983927;1.328050684;Increased
Non Colonized;Otu000973;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas;2.784414246;0.776188129;125;3.587293006;0.000477899;0.006349987;2.197227134;Increased
Non Colonized;Otu000996;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenella;2.338691421;0.548989929;125;4.259989656;3.99E-05;0.000912832;3.039609199;Increased
M12;Otu001128;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;2.104210385;0.679279916;125;3.097707346;0.00240878;0.020829121;1.681329058;Increased
